Time_ps	P1_Polar	P2_Nematic
2180.00	0.449658	0.656695
2190.00	0.447644	0.656641
2200.00	0.451260	0.659162
2210.00	0.449361	0.656801
2220.00	0.450721	0.658157
2230.00	0.449744	0.653597
2240.00	0.446564	0.655211
2250.00	0.448856	0.653782
2260.00	0.445948	0.650549
2270.00	0.446866	0.650350
2280.00	0.445280	0.650122
2290.00	0.445908	0.652408
2300.00	0.444185	0.647477
2310.00	0.449206	0.646884
2320.00	0.444586	0.652355
2330.00	0.445852	0.645190
2340.00	0.447275	0.646012
2350.00	0.447442	0.650244
2360.00	0.446786	0.642632
2370.00	0.449578	0.651415
2380.00	0.445332	0.648766
2390.00	0.447103	0.653793
2400.00	0.446518	0.651083
2410.00	0.448236	0.648397
2420.00	0.447038	0.651927
2430.00	0.447996	0.650551
2440.00	0.448787	0.653692
2450.00	0.449805	0.650955
2460.00	0.451471	0.653300
2470.00	0.448649	0.657688
2480.00	0.446868	0.648401
2490.00	0.448566	0.646087
2500.00	0.445021	0.645663
2510.00	0.450290	0.653412
2520.00	0.451785	0.646295
2530.00	0.448660	0.643848
2540.00	0.447265	0.645635
2550.00	0.447432	0.650814
2560.00	0.447627	0.644448
2570.00	0.448532	0.657443
2580.00	0.451306	0.656811
2590.00	0.447775	0.652663
2600.00	0.447944	0.651848
2610.00	0.447547	0.651620
2620.00	0.449657	0.651250
2630.00	0.451485	0.658427
2640.00	0.449170	0.650153
2650.00	0.448695	0.652731
2660.00	0.447586	0.655598
2670.00	0.449609	0.649598
2680.00	0.448651	0.650347
2690.00	0.449726	0.647194
2700.00	0.447191	0.641135
2710.00	0.449621	0.651751
2720.00	0.446914	0.647655
2730.00	0.445937	0.645715
2740.00	0.447047	0.646855
2750.00	0.444557	0.641260
2760.00	0.448420	0.648243
2770.00	0.446305	0.643574
2780.00	0.449355	0.643256
2790.00	0.448070	0.645873
2800.00	0.446966	0.646098
2810.00	0.446285	0.644241
2820.00	0.447014	0.646228
2830.00	0.445812	0.644396
2840.00	0.445668	0.643179
2850.00	0.446679	0.647338
2860.00	0.446901	0.644708
2870.00	0.445769	0.650702
2880.00	0.449274	0.653401
2890.00	0.448994	0.652733
2900.00	0.447417	0.653583
2910.00	0.448062	0.656098
2920.00	0.447237	0.654070
2930.00	0.446748	0.652630
2940.00	0.446709	0.644943
2950.00	0.448185	0.649530
2960.00	0.446475	0.648162
2970.00	0.446375	0.649834
2980.00	0.448818	0.649669
2990.00	0.448077	0.649116
3000.00	0.448362	0.649425
3010.00	0.447719	0.652875
3020.00	0.450066	0.651975
3030.00	0.446244	0.651368
3040.00	0.448946	0.651804
3050.00	0.445566	0.651035
3060.00	0.447699	0.648364
3070.00	0.446837	0.651317
3080.00	0.447772	0.654146
3090.00	0.448838	0.654099
3100.00	0.446441	0.653844
3110.00	0.447261	0.651617
3120.00	0.447520	0.648370
3130.00	0.445822	0.651580
3140.00	0.447776	0.652472
3150.00	0.446791	0.649308
3160.00	0.448217	0.652783
3170.00	0.448030	0.652644
3180.00	0.445567	0.647544
3190.00	0.446270	0.647742
3200.00	0.448072	0.649379
3210.00	0.444168	0.646160
3220.00	0.443385	0.645078
3230.00	0.446262	0.655539
3240.00	0.443836	0.647385
3250.00	0.446059	0.653261
3260.00	0.446294	0.650992
3270.00	0.446924	0.648439
3280.00	0.444553	0.645052
3290.00	0.448418	0.645986
3300.00	0.446801	0.647671
3310.00	0.443491	0.647128
3320.00	0.445234	0.645520
3330.00	0.447063	0.650349
3340.00	0.450066	0.651560
3350.00	0.448237	0.648910
3360.00	0.444996	0.650928
3370.00	0.448362	0.655622
3380.00	0.446510	0.655301
3390.00	0.447133	0.656261
3400.00	0.450252	0.655313
3410.00	0.447357	0.655313
3420.00	0.447062	0.657977
3430.00	0.445520	0.656306
3440.00	0.449238	0.655247
3450.00	0.446695	0.652350
3460.00	0.447243	0.655059
3470.00	0.450450	0.659238
3480.00	0.449033	0.652597
3490.00	0.447198	0.649751
3500.00	0.446444	0.657052
3510.00	0.447363	0.655547
3520.00	0.447977	0.660273
3530.00	0.447927	0.653757
3540.00	0.447089	0.654750
3550.00	0.446917	0.652936
3560.00	0.444659	0.650031
3570.00	0.445749	0.653377
3580.00	0.446679	0.644950
3590.00	0.449531	0.648933
3600.00	0.449025	0.653373
3610.00	0.446188	0.653584
3620.00	0.444436	0.648709
3630.00	0.446602	0.653384
3640.00	0.445418	0.647910
3650.00	0.447288	0.649774
3660.00	0.448666	0.652304
3670.00	0.447896	0.651831
3680.00	0.446019	0.651078
3690.00	0.445808	0.650406
3700.00	0.448781	0.655790
3710.00	0.445494	0.650093
3720.00	0.444750	0.640324
3730.00	0.446723	0.653029
3740.00	0.447224	0.650989
3750.00	0.445996	0.647604
3760.00	0.446534	0.647299
3770.00	0.444484	0.645346
3780.00	0.447020	0.648296
3790.00	0.444126	0.646419
3800.00	0.446667	0.646487
3810.00	0.449084	0.649271
3820.00	0.449459	0.651207
3830.00	0.448558	0.649813
3840.00	0.446581	0.647653
3850.00	0.445086	0.642361
3860.00	0.447495	0.648334
3870.00	0.446505	0.651818
3880.00	0.446710	0.648532
3890.00	0.443126	0.648450
3900.00	0.445851	0.650558
3910.00	0.447818	0.650780
3920.00	0.444956	0.644628
3930.00	0.446380	0.649346
3940.00	0.446786	0.654331
3950.00	0.444900	0.646355
3960.00	0.444827	0.649700
3970.00	0.445469	0.659029
3980.00	0.448172	0.654936
3990.00	0.445731	0.650060
4000.00	0.447305	0.659289
4010.00	0.447535	0.648428
4020.00	0.445701	0.649773
4030.00	0.444358	0.640811
4040.00	0.448853	0.650242
4050.00	0.448190	0.646085
4060.00	0.446470	0.649188
4070.00	0.447794	0.649367
4080.00	0.447808	0.648038
4090.00	0.445694	0.649804
4100.00	0.445686	0.643082
4110.00	0.448408	0.653387
4120.00	0.446486	0.648515
4130.00	0.445122	0.646931
4140.00	0.446179	0.647502
4150.00	0.445865	0.646720
4160.00	0.447261	0.648732
4170.00	0.445915	0.647054
4180.00	0.449105	0.650792
4190.00	0.445374	0.642571
4200.00	0.446123	0.644366
4210.00	0.446343	0.645267
4220.00	0.447121	0.646107
4230.00	0.443695	0.640783
4240.00	0.445699	0.650234
4250.00	0.443109	0.642716
4260.00	0.447373	0.643950
4270.00	0.444876	0.652184
4280.00	0.449110	0.647843
4290.00	0.445811	0.644595
4300.00	0.445122	0.646776
4310.00	0.445570	0.648117
4320.00	0.446838	0.646972
4330.00	0.447692	0.650546
4340.00	0.445359	0.650309
4350.00	0.446634	0.644471
4360.00	0.446518	0.646551
4370.00	0.445136	0.650463
4380.00	0.445886	0.645680
4390.00	0.446848	0.650670
4400.00	0.446963	0.646437
4410.00	0.444729	0.642430
4420.00	0.447432	0.641145
4430.00	0.449299	0.647779
4440.00	0.446681	0.645802
4450.00	0.447294	0.644396
4460.00	0.446028	0.644101
4470.00	0.447799	0.648793
4480.00	0.448811	0.649821
4490.00	0.444519	0.643148
4500.00	0.444980	0.653015
4510.00	0.445140	0.650848
4520.00	0.446505	0.651635
4530.00	0.446658	0.651930
4540.00	0.446950	0.648628
4550.00	0.447132	0.649790
4560.00	0.445760	0.650319
4570.00	0.443510	0.639880
4580.00	0.444966	0.646705
4590.00	0.445989	0.647744
4600.00	0.446390	0.644515
4610.00	0.448813	0.650084
4620.00	0.448829	0.653595
4630.00	0.449682	0.649174
4640.00	0.449476	0.650735
4650.00	0.447863	0.653675
4660.00	0.449217	0.650698
4670.00	0.447454	0.654550
4680.00	0.444316	0.649560
4690.00	0.446607	0.648542
4700.00	0.444497	0.643602
4710.00	0.445519	0.646800
4720.00	0.444306	0.647254
4730.00	0.444160	0.645429
4740.00	0.445813	0.651682
4750.00	0.445615	0.644086
4760.00	0.447085	0.656362
4770.00	0.445287	0.651236
4780.00	0.447027	0.651796
4790.00	0.444076	0.647780
4800.00	0.445855	0.650457
4810.00	0.445206	0.651693
4820.00	0.443694	0.648370
4830.00	0.446411	0.646777
4840.00	0.444466	0.643284
4850.00	0.447906	0.654838
4860.00	0.445714	0.647897
4870.00	0.446003	0.646350
4880.00	0.447726	0.648679
4890.00	0.445176	0.645111
4900.00	0.444026	0.642477
4910.00	0.444301	0.645906
4920.00	0.444545	0.647180
4930.00	0.446665	0.652768
4940.00	0.443929	0.644654
4950.00	0.443725	0.645821
4960.00	0.444180	0.646162
4970.00	0.441775	0.638280
4980.00	0.444013	0.645213
4990.00	0.445344	0.642664
5000.00	0.447508	0.646783
5010.00	0.448199	0.653182
5020.00	0.444298	0.649159
5030.00	0.445672	0.644445
5040.00	0.447856	0.646275
5050.00	0.446243	0.645960
5060.00	0.445328	0.644710
5070.00	0.444093	0.641523
5080.00	0.444149	0.646676
5090.00	0.443943	0.649286
5100.00	0.447917	0.648199
5110.00	0.443623	0.647137
5120.00	0.443533	0.646303
5130.00	0.446495	0.648408
5140.00	0.446506	0.646516
5150.00	0.442336	0.643222
5160.00	0.443912	0.642406
5170.00	0.447300	0.647806
5180.00	0.442837	0.646922
5190.00	0.443245	0.643604
5200.00	0.444408	0.643895
5210.00	0.442818	0.641361
5220.00	0.443815	0.643222
5230.00	0.446026	0.645551
5240.00	0.445484	0.644730
5250.00	0.444378	0.646382
5260.00	0.442671	0.643270
5270.00	0.443168	0.640806
5280.00	0.444875	0.643335
5290.00	0.444708	0.644751
5300.00	0.443640	0.644771
5310.00	0.442634	0.646242
5320.00	0.445435	0.642418
5330.00	0.446755	0.644559
5340.00	0.440560	0.638719
5350.00	0.442010	0.644508
5360.00	0.445463	0.652352
5370.00	0.443911	0.645702
