Time_ps	P1_Polar	P2_Nematic
2180.00	0.447210	0.691848
2190.00	0.447426	0.691065
2200.00	0.449408	0.693855
2210.00	0.449026	0.692067
2220.00	0.449389	0.696068
2230.00	0.447468	0.692563
2240.00	0.447855	0.693935
2250.00	0.446492	0.689881
2260.00	0.452001	0.692262
2270.00	0.450259	0.694686
2280.00	0.448476	0.691858
2290.00	0.450267	0.697695
2300.00	0.452018	0.697257
2310.00	0.449658	0.692831
2320.00	0.448729	0.697228
2330.00	0.451352	0.700336
2340.00	0.448536	0.695489
2350.00	0.449862	0.701468
2360.00	0.450060	0.696738
2370.00	0.448119	0.691320
2380.00	0.448934	0.693637
2390.00	0.447754	0.696484
2400.00	0.447342	0.695516
2410.00	0.448456	0.693644
2420.00	0.447930	0.691510
2430.00	0.448443	0.695747
2440.00	0.447207	0.692313
2450.00	0.450432	0.700031
2460.00	0.446898	0.689375
2470.00	0.448976	0.695267
2480.00	0.448366	0.700270
2490.00	0.449413	0.698879
2500.00	0.449313	0.693796
2510.00	0.450293	0.697339
2520.00	0.449567	0.700382
2530.00	0.447369	0.696777
2540.00	0.445706	0.697517
2550.00	0.448336	0.693374
2560.00	0.449307	0.694055
2570.00	0.448746	0.695771
2580.00	0.449357	0.695172
2590.00	0.446783	0.689366
2600.00	0.447183	0.695501
2610.00	0.448113	0.693251
2620.00	0.448639	0.688742
2630.00	0.449178	0.690895
2640.00	0.448879	0.691684
2650.00	0.449585	0.695050
2660.00	0.447902	0.693777
2670.00	0.449200	0.687031
2680.00	0.448337	0.691831
2690.00	0.447500	0.685750
2700.00	0.447422	0.689054
2710.00	0.448723	0.689969
2720.00	0.447982	0.692478
2730.00	0.450209	0.696818
2740.00	0.448765	0.689808
2750.00	0.451259	0.693041
2760.00	0.449461	0.689722
2770.00	0.448863	0.694384
2780.00	0.449596	0.696427
2790.00	0.450642	0.698803
2800.00	0.450334	0.693042
2810.00	0.448612	0.693977
2820.00	0.449956	0.694020
2830.00	0.446138	0.686392
2840.00	0.446677	0.693455
2850.00	0.448069	0.688355
2860.00	0.448800	0.695699
2870.00	0.447798	0.693936
2880.00	0.449377	0.692221
2890.00	0.446075	0.691832
2900.00	0.448680	0.693396
2910.00	0.446542	0.693137
